datapath_id,version,header_length,tos,total_length,flags,offset,ttl,proto,csum,src_ip,dst_ip,src_port,dst_port,tcp_flag,type_icmp,code_icmp,csum_icmp,port_no,rx_bytes_ave,rx_error_ave,rx_dropped_ave,tx_bytes_ave,tx_error_ave,tx_dropped_ave,label
1,4,5,0,28,0,0,250,1,41090,205.124.72.221,10.0.0.4,0,0,0,8,113,62944,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,20135,162.215.197.93,10.0.0.4,0,0,0,8,155,62984,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,56732,53.114.163.205,10.0.0.4,0,0,0,8,240,63227,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,40466,190.75.90.126,10.0.0.4,0,0,0,8,92,63313,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,6171,45.217.112.232,10.0.0.4,0,0,0,8,8,63165,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,28539,27.95.44.2,10.0.0.4,0,0,0,8,161,63014,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,17382,26.255.87.247,10.0.0.4,0,0,0,8,85,63046,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,10355,198.189.199.171,10.0.0.4,0,0,0,8,115,63100,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,53369,247.56.239.41,10.0.0.4,0,0,0,8,199,62882,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,63459,226.212.220.35,10.0.0.4,0,0,0,8,222,62991,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,14537,89.228.36.47,10.0.0.4,0,0,0,8,220,62793,1,42,0,0,116,0,0,DDOS_ICMP
