datapath_id,version,header_length,tos,total_length,flags,offset,ttl,proto,csum,src_ip,dst_ip,src_port,dst_port,tcp_flag,type_icmp,code_icmp,csum_icmp,port_no,label
1,4,5,0,28,0,0,250,1,45030,43.88.219.157,10.0.0.4,0,0,0,8,108,63169,1,0
1,4,5,0,28,0,0,250,1,45030,43.88.219.157,10.0.0.4,0,0,0,8,108,63169,1,0
1,4,5,0,28,0,0,250,1,45030,43.88.219.157,10.0.0.4,0,0,0,8,108,63169,1,0
1,4,5,0,28,0,0,250,1,45030,43.88.219.157,10.0.0.4,0,0,0,8,108,63169,1,0
1,4,5,0,28,0,0,250,1,45030,43.88.219.157,10.0.0.4,0,0,0,8,108,63169,1,0
1,4,5,0,28,0,0,250,1,45030,43.88.219.157,10.0.0.4,0,0,0,8,108,63169,1,0
1,4,5,0,28,0,0,250,1,45030,43.88.219.157,10.0.0.4,0,0,0,8,108,63169,1,0
1,4,5,0,28,0,0,250,1,49466,113.129.132.32,10.0.0.4,0,0,0,8,93,63248,1,0
1,4,5,0,28,0,0,250,1,49466,113.129.132.32,10.0.0.4,0,0,0,8,93,63248,1,0
1,4,5,0,28,0,0,250,1,49466,113.129.132.32,10.0.0.4,0,0,0,8,93,63248,1,0
1,4,5,0,28,0,0,250,1,49466,113.129.132.32,10.0.0.4,0,0,0,8,93,63248,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,55140,173.90.50.29,10.0.0.4,0,0,0,8,52,63041,1,0
1,4,5,0,28,0,0,250,1,22515,111.117.239.115,10.0.0.4,0,0,0,8,76,63291,1,0
1,4,5,0,28,0,0,250,1,22515,111.117.239.115,10.0.0.4,0,0,0,8,76,63291,1,0
1,4,5,0,28,0,0,250,1,56124,228.42.247.116,10.0.0.4,0,0,0,8,9,63144,1,0
1,4,5,0,28,0,0,250,1,56124,228.42.247.116,10.0.0.4,0,0,0,8,9,63144,1,0
1,4,5,0,28,0,0,250,1,56124,228.42.247.116,10.0.0.4,0,0,0,8,9,63144,1,0
